tier,elo,side,averageLoss,classifiedCount,bookCount,accuracy,version
1100,1100,white,2.8503,99,4,83.72,1
1100,1100,black,2.6613,98,4,84.43,1
1100,1100,white,2.6273,78,1,84.90,1
1100,1100,black,2.2627,78,0,86.64,1
1100,1100,white,3.4757,48,2,81.40,1
1100,1100,black,2.6931,47,2,86.67,1
1700,1700,white,1.5751,45,1,92.95,1
1700,1700,black,2.0656,45,1,89.56,1
1700,1700,white,1.5491,30,5,94.46,1
1700,1700,black,2.5791,30,5,88.51,1
1700,1700,white,3.1829,40,2,78.79,1
1700,1700,black,2.4313,39,2,87.27,1
1700,1700,white,3.4422,29,5,78.34,1
1700,1700,black,1.7039,29,4,91.39,1
1700,1700,white,1.1935,18,5,95.27,1
1700,1700,black,3.4773,18,5,78.00,1
1700,1700,white,2.5186,38,2,87.15,1
1700,1700,black,3.3289,39,1,81.89,1
2300,2300,white,2.7672,50,5,85.58,1
2300,2300,black,1.9574,49,5,90.45,1
2300,2300,white,1.4234,56,5,93.43,1
2300,2300,black,2.0341,57,4,90.64,1
2300,2300,white,1.4703,47,1,93.41,1
2300,2300,black,1.9831,47,1,91.09,1
2300,2300,white,1.8629,50,2,91.42,1
2300,2300,black,2.7156,50,2,86.40,1
2300,2300,white,1.7888,51,5,92.79,1
2300,2300,black,1.5970,51,5,93.50,1
2300,2300,white,1.9230,33,5,90.59,1
2300,2300,black,1.7820,34,4,90.45,1
2900,2900,white,0.9615,39,1,95.69,1
2900,2900,black,0.8256,38,1,96.20,1
2900,2900,white,1.6083,51,4,93.06,1
2900,2900,black,0.8504,50,4,96.01,1
2900,2900,white,1.1334,53,6,95.21,1
2900,2900,black,0.9413,53,6,96.02,1
2900,2900,white,1.1081,64,1,94.49,1
2900,2900,black,1.7052,64,1,92.11,1
2900,2900,white,0.6790,30,5,97.10,1
2900,2900,black,0.5321,30,5,97.91,1
2900,2900,white,0.8492,54,5,96.18,1
2900,2900,black,1.3602,53,5,94.25,1
