tier,elo,side,averageLoss,classifiedCount,bookCount,accuracy,version,balancedLoss,balancedCount,faultRate
1100,1100,white,2.8540,61,1,69.70,1,7.1558,19,0.0984
1100,1100,black,2.1023,60,1,75.89,1,4.8574,17,0.0667
1100,1100,white,4.2293,56,3,76.42,1,5.5460,39,0.2857
1100,1100,black,3.7010,55,3,79.76,1,4.2963,37,0.1818
1100,1100,white,2.1765,73,2,83.51,1,3.4553,38,0.0685
1100,1100,black,1.9138,72,2,86.59,1,2.6126,36,0.1250
1100,1100,white,2.7765,66,3,83.58,1,3.5425,49,0.1818
1100,1100,black,2.2156,66,2,86.40,1,2.8658,43,0.1061
1700,1700,white,2.0048,54,1,88.50,1,2.8183,25,0.1296
1700,1700,black,2.4902,54,1,84.70,1,3.7284,26,0.1296
